,conf,prediction,true
84,0.57155496,2,1
85,0.57155555,2,2
86,0.5715566,2,2
87,0.5715558,2,0
88,0.5715551,2,2
89,0.5715553,2,2
90,0.5715557,2,2
91,0.57155544,2,0
92,0.5715558,2,2
93,0.5715554,2,0
94,0.5715569,2,2
95,0.57155526,2,2
96,0.57155645,2,2
97,0.57155603,2,0
98,0.5715557,2,2
99,0.5715557,2,1
100,0.57155555,2,0
101,0.57155627,2,2
102,0.5715552,2,2
103,0.5715551,2,2
104,0.5715568,2,2
105,0.57155675,2,2
106,0.5715563,2,2
107,0.5715555,2,1
108,0.57155496,2,2
109,0.57155645,2,2
110,0.571556,2,2
111,0.5715558,2,2
112,0.5715567,2,2
113,0.5715552,2,2
114,0.57155603,2,2
115,0.5715551,2,1
116,0.57155603,2,0
117,0.57155544,2,2
118,0.571556,2,0
119,0.57155704,2,2
120,0.57155466,2,2
121,0.5715562,2,0
122,0.5715557,2,2
123,0.571557,2,2
124,0.5715544,2,0
125,0.57155555,2,1
126,0.5715562,2,2
127,0.57155657,2,2
128,0.57155496,2,0
129,0.57155544,2,0
130,0.5715562,2,0
131,0.5715556,2,0
132,0.5715558,2,2
133,0.5715552,2,2
134,0.5715572,2,2
135,0.57155794,2,2
136,0.57155544,2,2
137,0.57155544,2,2
138,0.571555,2,2
139,0.5715558,2,0
140,0.57155675,2,2
141,0.57155675,2,2
142,0.5715562,2,2
143,0.5715558,2,2
144,0.5715552,2,0
145,0.5715566,2,2
146,0.57155555,2,1
147,0.57155657,2,2
148,0.5715564,2,2
149,0.57155806,2,2
150,0.5715562,2,2
151,0.57155603,2,1
152,0.5715561,2,2
153,0.571555,2,1
154,0.5715554,2,2
155,0.5715559,2,2
156,0.5715553,2,1
157,0.57155544,2,2
158,0.57155704,2,2
159,0.5715553,2,1
160,0.57155573,2,2
161,0.5715565,2,2
162,0.5715562,2,2
163,0.5715558,2,2
164,0.5715545,2,2
165,0.5715564,2,2
166,0.5715557,2,2
167,0.57155544,2,2
168,0.57155627,2,2
169,0.5715562,2,2
170,0.57155544,2,2
171,0.571556,2,0
172,0.5715563,2,2
173,0.57155526,2,2
174,0.57155454,2,1
175,0.5715558,2,2
176,0.5715562,2,2
177,0.57155514,2,1
178,0.5715559,2,1
179,0.57155657,2,2
180,0.5715563,2,2
181,0.5715563,2,2
182,0.5715559,2,2
183,0.57155675,2,2
184,0.57155544,2,0
185,0.57155555,2,0
186,0.5715557,2,2
187,0.57155555,2,2
188,0.57155627,2,2
189,0.57155603,2,2
190,0.5715558,2,1
191,0.5715559,2,2
192,0.5715555,2,2
193,0.5715576,2,2
194,0.5715546,2,1
195,0.5715557,2,1
196,0.5715555,2,1
197,0.5715544,2,0
198,0.5715557,2,2
199,0.57155555,2,0
200,0.5715565,2,2
201,0.5715559,2,2
202,0.5715555,2,2
203,0.57155585,2,2
204,0.5715578,2,2
205,0.5715545,2,2
206,0.5715554,2,0
207,0.57155615,2,2
208,0.5715561,2,2
209,0.5715567,2,2
210,0.5715565,2,0
211,0.57155544,2,0
212,0.57155573,2,1
213,0.5715574,2,2
214,0.5715543,2,2
215,0.57155627,2,2
216,0.5715572,2,2
217,0.5715557,2,2
218,0.5715552,2,0
219,0.57155573,2,2
220,0.57155555,2,2
221,0.57155555,2,2
222,0.57155496,2,0
223,0.5715554,2,0
224,0.57155573,2,2
225,0.5715551,2,2
226,0.57155585,2,0
227,0.571555,2,1
228,0.5715563,2,2
229,0.5715567,2,2
230,0.5715557,2,2
231,0.5715557,2,2
232,0.57155466,2,0
233,0.57155526,2,1
234,0.57155573,2,2
235,0.5715557,2,2
236,0.571555,2,2
237,0.5715561,2,2
238,0.5715562,2,2
239,0.5715562,2,2
240,0.571555,2,1
241,0.5715554,2,0
242,0.5715559,2,0
243,0.5715555,2,2
244,0.5715555,2,0
245,0.5715559,2,2
246,0.5715552,2,2
247,0.57155657,2,2
248,0.5715562,2,2
249,0.5715552,2,2
250,0.5715565,2,2
251,0.5715559,2,2
252,0.5715563,2,2
253,0.5715558,2,0
254,0.57155645,2,0
255,0.5715559,2,2
256,0.57155573,2,2
257,0.57155454,2,1
258,0.5715553,2,2
259,0.5715561,2,2
260,0.5715551,2,1
261,0.5715572,2,2
262,0.5715556,2,2
263,0.57155544,2,1
264,0.5715561,2,2
265,0.5715553,2,1
266,0.571556,2,2
267,0.57155573,2,0
268,0.5715558,2,2
269,0.5715563,2,2
270,0.5715561,2,2
271,0.5715556,2,2
272,0.57155627,2,2
273,0.57155544,2,2
274,0.57155603,2,2
275,0.57155544,2,1
276,0.5715565,2,2
277,0.5715557,2,1
278,0.57155555,2,1
279,0.5715561,2,0
280,0.5715554,2,2
281,0.5715555,2,2
282,0.5715557,2,0
283,0.5715557,2,0
284,0.5715563,2,2
285,0.57155627,2,2
286,0.5715549,2,0
287,0.57155603,2,2
288,0.57155603,2,0
289,0.57155645,2,2
290,0.5715559,2,2
291,0.57155615,2,2
292,0.5715561,2,2
293,0.5715552,2,2
294,0.5715562,2,2
295,0.57155585,2,2
296,0.5715552,2,2
297,0.57155555,2,1
298,0.5715559,2,1
299,0.5715562,2,2
300,0.57155585,2,2
301,0.5715558,2,1
302,0.57155627,2,2
303,0.5715571,2,2
304,0.5715562,2,2
305,0.57155555,2,2
306,0.57155555,2,2
307,0.571556,2,1
308,0.5715562,2,2
309,0.5715569,2,0
310,0.57155544,2,2
311,0.571556,2,2
312,0.5715557,2,2
313,0.571555,2,2
314,0.5715555,2,2
315,0.57155526,2,1
316,0.5715561,2,2
317,0.5715558,2,2
318,0.5715562,2,2
319,0.571557,2,2
320,0.57155615,2,2
321,0.5715563,2,2
322,0.5715563,2,0
323,0.57155555,2,0
324,0.5715557,2,2
325,0.5715562,2,2
326,0.5715568,2,2
327,0.571556,2,2
328,0.5715561,2,2
329,0.57155514,2,1
330,0.5715555,2,1
331,0.5715567,2,2
332,0.5715555,2,0
333,0.5715561,2,2
334,0.57155603,2,0
335,0.57155615,2,1
336,0.5715561,2,2
337,0.5715554,2,0
338,0.57155484,2,1
339,0.5715565,2,0
340,0.57155573,2,1
341,0.5715568,2,2
342,0.57155555,2,2
343,0.5715553,2,0
344,0.57155496,2,0
345,0.57155555,2,1
346,0.57155746,2,2
347,0.57155573,2,0
348,0.5715548,2,2
349,0.57155585,2,2
350,0.5715563,2,2
351,0.5715551,2,2
352,0.5715558,2,0
353,0.57155585,2,2
354,0.5715562,2,2
355,0.5715561,2,2
356,0.5715562,2,2
357,0.57155603,2,2
358,0.57155704,2,2
359,0.5715559,2,0
360,0.5715552,2,0
361,0.57155657,2,2
362,0.57155627,2,2
363,0.5715569,2,2
364,0.5715558,2,2
365,0.571556,2,2
366,0.57155526,2,2
367,0.57155555,2,0
368,0.5715561,2,1
369,0.5715572,2,2
370,0.5715562,2,1
371,0.57155645,2,2
372,0.5715569,2,2
373,0.5715553,2,0
374,0.5715549,2,1
375,0.5715557,2,1
376,0.5715564,2,2
377,0.57155555,2,1
378,0.5715558,2,2
379,0.57155544,2,0
380,0.5715561,2,2
381,0.5715548,2,1
382,0.5715576,2,2
383,0.57155746,2,2
384,0.5715554,2,2
385,0.57155627,2,2
386,0.5715562,2,2
387,0.5715553,2,2
388,0.57155675,2,0
389,0.57155544,2,0
390,0.5715558,2,1
391,0.5715553,2,0
392,0.57155526,2,2
393,0.57155603,2,2
394,0.5715564,2,2
395,0.5715558,2,0
396,0.5715557,2,0
397,0.57155526,2,2
398,0.57155573,2,2
399,0.57155657,2,0
400,0.57155555,2,2
401,0.5715572,2,2
402,0.57155675,2,2
403,0.5715558,2,2
404,0.5715569,2,2
405,0.5715575,2,2
406,0.5715557,2,1
407,0.5715557,2,0
408,0.57155603,2,0
409,0.5715568,2,2
410,0.57155514,2,2
411,0.5715559,2,2
412,0.5715566,2,2
413,0.57155603,2,2
414,0.5715563,2,2
415,0.5715557,2,0
416,0.5715553,2,1
417,0.57155573,2,2
418,0.5715558,2,2
419,0.571555,2,2
420,0.5715559,2,2
421,0.5715554,2,0
422,0.5715555,2,1
423,0.57155704,2,0
424,0.571556,2,1
425,0.5715553,2,2
426,0.5715557,2,0
427,0.5715561,2,1
428,0.5715558,2,0
429,0.57155544,2,2
430,0.5715551,2,1
431,0.5715559,2,2
432,0.57155603,2,2
433,0.5715553,2,0
434,0.57155734,2,2
435,0.57155657,2,0
436,0.57155627,2,2
437,0.5715555,2,0
438,0.5715556,2,0
439,0.5715553,2,2
440,0.5715561,2,1
441,0.57155555,2,2
442,0.5714757,2,2
443,0.5715555,2,2
444,0.5715562,2,2
445,0.57155514,2,0
446,0.57155526,2,0
447,0.5715548,2,0
448,0.5715564,2,2
449,0.57155544,2,2
450,0.5715553,2,2
451,0.57155627,2,0
452,0.57155645,2,2
453,0.5715559,2,0
454,0.5715553,2,0
455,0.57155544,2,1
456,0.57155544,2,2
457,0.57155573,2,1
458,0.5715567,2,0
459,0.5715568,2,2
460,0.57155466,2,1
461,0.57155603,2,2
462,0.5715561,2,2
463,0.5715558,2,2
464,0.5715557,2,2
465,0.57155615,2,1
466,0.57155645,2,0
467,0.571556,2,2
468,0.5715567,2,2
469,0.571554,2,2
470,0.57155555,2,2
471,0.5715558,2,1
472,0.5715553,2,1
473,0.57155627,2,2
474,0.57155645,2,2
475,0.5715563,2,2
476,0.5715562,2,2
477,0.5715552,2,2
478,0.5715562,2,2
479,0.5715562,2,2
480,0.571555,2,2
481,0.571557,2,2
482,0.57155555,2,2
483,0.57155603,2,2
484,0.5715564,2,2
485,0.57155585,2,2
486,0.5715566,2,2
487,0.5715553,2,1
488,0.5715558,2,0
489,0.57155645,2,1
490,0.5715551,2,2
491,0.57155734,2,1
492,0.5715557,2,0
493,0.57155555,2,2
494,0.57155704,2,2
495,0.5715563,2,2
496,0.5715552,2,0
497,0.5715557,2,2
498,0.57155704,2,0
499,0.57155603,2,2
500,0.5715562,2,2
501,0.57155734,2,2
502,0.57155555,2,2
503,0.57155454,2,1
504,0.57155555,2,1
505,0.5715552,2,0
506,0.57155544,2,0
507,0.57155573,2,2
508,0.5715549,2,1
509,0.571556,2,0
510,0.5715581,2,2
511,0.5715562,2,2
512,0.5715549,2,2
513,0.5715562,2,2
514,0.5715556,2,1
515,0.5715557,2,0
516,0.57155645,2,2
517,0.57155687,2,2
518,0.5715552,2,0
519,0.5715563,2,2
520,0.5715573,2,2
521,0.57155526,2,0
522,0.5715551,2,1
523,0.5715567,2,2
524,0.57155573,2,2
525,0.5715557,2,0
526,0.57155514,2,0
527,0.5715553,2,2
528,0.57155627,2,2
529,0.571557,2,2
530,0.5715582,2,2
531,0.5715552,2,2
532,0.57155544,2,2
533,0.5715557,2,2
534,0.5715562,2,0
535,0.57155544,2,1
536,0.571555,2,2
537,0.5715555,2,0
538,0.5715561,2,1
539,0.57155704,2,0
540,0.57155657,2,2
541,0.5715558,2,2
542,0.57155627,2,2
543,0.5715561,2,2
544,0.57155526,2,1
545,0.5715558,2,2
546,0.5715561,2,0
547,0.5715561,2,2
548,0.5715559,2,2
549,0.5715568,2,2
550,0.5715558,2,2
551,0.57155555,2,1
552,0.57155704,2,2
553,0.5715556,2,2
554,0.57155615,2,1
555,0.57155645,2,2
556,0.57155734,2,2
557,0.57155573,2,1
558,0.5715557,2,2
559,0.57155603,2,2
560,0.5715557,2,1
561,0.5715565,2,2
562,0.57155454,2,1
563,0.5715551,2,0
564,0.571556,2,2
565,0.571556,2,2
566,0.571556,2,2
567,0.57155573,2,2
568,0.5715557,2,2
569,0.5715563,2,2
570,0.5715563,2,0
571,0.571558,2,2
572,0.5715555,2,2
573,0.57155603,2,2
574,0.57155555,2,2
575,0.571557,2,2
576,0.5715573,2,0
577,0.5715567,2,2
578,0.5715561,2,2
579,0.5715551,2,2
580,0.5715553,2,0
581,0.57155544,2,2
582,0.5715559,2,2
583,0.57155746,2,2
584,0.5715562,2,0
585,0.57155603,2,2
586,0.57155657,2,1
587,0.571555,2,1
588,0.57155603,2,0
589,0.5715561,2,2
590,0.5715551,2,1
591,0.57155603,2,2
592,0.5715558,2,0
593,0.57155555,2,2
594,0.5715555,2,0
595,0.57155466,2,2
596,0.5715563,2,2
597,0.5715558,2,1
598,0.5715556,2,1
599,0.57155615,2,2
600,0.5715549,2,2
601,0.5715564,2,2
602,0.571556,2,2
603,0.5715559,2,0
604,0.5715553,2,2
605,0.5715569,2,2
606,0.5715562,2,2
607,0.5715553,2,0
608,0.5715559,2,2
609,0.57155627,2,2
610,0.57155627,2,2
611,0.57155657,2,2
612,0.5715564,2,2
613,0.57155603,2,2
614,0.5715573,2,2
615,0.571556,2,2
616,0.5715559,2,2
617,0.571556,2,1
618,0.57155603,2,2
619,0.57155555,2,0
620,0.5715563,2,2
621,0.57155526,2,2
622,0.5715558,2,2
623,0.5715554,2,0
624,0.57155627,2,2
625,0.57155555,2,2
626,0.57155555,2,2
627,0.5715561,2,2
628,0.57155484,2,0
629,0.57155603,2,1
630,0.5715562,2,2
631,0.5715557,2,2
632,0.5715559,2,2
633,0.57155496,2,1
634,0.57155657,2,2
635,0.5715559,2,0
636,0.5715559,2,0
637,0.5715551,2,0
638,0.5715569,2,2
639,0.5715551,2,1
640,0.5715571,2,2
641,0.5715551,2,2
642,0.5715553,2,1
643,0.5715548,2,2
644,0.5715563,2,2
645,0.5715553,2,1
646,0.5715557,2,2
647,0.5715564,2,2
648,0.57155603,2,2
649,0.5715557,2,2
650,0.5715565,2,0
651,0.5715572,2,0
652,0.57155526,2,2
653,0.5715558,2,2
654,0.57155544,2,0
655,0.5715559,2,2
656,0.571556,2,2
657,0.5715569,2,1
658,0.5715559,2,2
659,0.5715558,2,2
660,0.57155585,2,1
661,0.571556,2,2
662,0.57155573,2,0
663,0.5715558,2,2
664,0.5715568,2,2
665,0.57155573,2,2
666,0.57155555,2,2
667,0.5715572,2,2
668,0.5715557,2,0
669,0.5715557,2,2
670,0.57155573,2,2
671,0.57155555,2,2
672,0.5715556,2,2
673,0.5715562,2,0
674,0.5715557,2,2
675,0.57155454,2,2
676,0.571555,2,0
677,0.57155573,2,2
678,0.571555,2,1
679,0.5715568,2,2
680,0.5715549,2,2
681,0.5715549,2,2
682,0.5715576,2,2
683,0.5715572,2,2
684,0.57155615,2,2
685,0.5715576,2,2
686,0.5715549,2,2
687,0.57155585,2,0
688,0.5715558,2,2
689,0.5715548,2,2
690,0.5715558,2,2
691,0.57155573,2,2
692,0.5715553,2,0
693,0.5715559,2,0
694,0.5715562,2,0
695,0.5715561,2,2
696,0.5715557,2,2
697,0.57155603,2,2
698,0.57155555,2,2
699,0.5715559,2,2
700,0.57155627,2,2
701,0.57155603,2,2
702,0.57155526,2,2
703,0.5715559,2,2
704,0.57155526,2,2
705,0.57155544,2,0
706,0.5715564,2,2
707,0.5715568,2,2
708,0.57155585,2,0
709,0.57155734,2,2
710,0.57155526,2,1
711,0.5715557,2,0
712,0.5715552,2,0
713,0.5715553,2,2
714,0.57155555,2,0
715,0.571555,2,2
716,0.5715558,2,1
717,0.57155603,2,0
718,0.5715551,2,0
719,0.5715548,2,1
720,0.5715557,2,2
721,0.5715558,2,0
722,0.5715556,2,0
723,0.5715549,2,1
724,0.57155627,2,2
725,0.5715556,2,2
726,0.5715567,2,1
727,0.5715562,2,0
728,0.5715556,2,2
729,0.5715557,2,2
730,0.571556,2,2
731,0.57155544,2,2
732,0.5715557,2,2
733,0.5715553,2,1
734,0.5715558,2,2
735,0.57155436,2,2
736,0.571555,2,1
737,0.57155657,2,2
738,0.5715562,2,2
739,0.5715557,2,2
740,0.5715571,2,2
741,0.5715557,2,1
742,0.57155627,2,2
743,0.5715551,2,1
744,0.5715549,2,1
745,0.571556,2,0
746,0.57155544,2,2
747,0.5715558,2,2
748,0.5715552,2,2
749,0.5715554,2,0
750,0.5715558,2,1
751,0.5715556,2,2
752,0.57155734,2,2
753,0.5715558,2,2
754,0.5715555,2,2
755,0.57155657,2,2
756,0.57155555,2,0
757,0.57155544,2,1
758,0.5715556,2,1
759,0.5715559,2,2
760,0.5715562,2,2
761,0.5715572,2,2
762,0.57155555,2,2
763,0.57155603,2,2
764,0.5715561,2,1
765,0.57155526,2,2
766,0.57155794,2,2
767,0.5715558,2,0
768,0.5715551,2,1
769,0.5715561,2,2
770,0.5715559,2,2
771,0.5715565,2,2
772,0.57155544,2,0
773,0.5715552,2,0
774,0.5715549,2,1
775,0.5715562,2,2
776,0.5715555,2,2
777,0.571556,2,2
778,0.5715561,2,2
779,0.5715552,2,0
780,0.5715563,2,0
781,0.57155585,2,2
782,0.5715558,2,2
783,0.57155603,2,2
784,0.57155645,2,1
785,0.5715561,2,2
786,0.571555,2,1
787,0.5715555,2,0
788,0.57155573,2,0
789,0.571555,2,2
790,0.57155615,2,2
791,0.57155544,2,2
792,0.5715563,2,0
793,0.5715563,2,0
794,0.57155603,2,0
795,0.57155526,2,0
796,0.57155603,2,2
797,0.57155585,2,2
798,0.5715555,2,0
799,0.57155704,2,2
800,0.5715561,2,2
801,0.57155544,2,0
802,0.57155645,2,1
803,0.5715568,2,2
804,0.57155573,2,0
805,0.571555,2,2
806,0.5715561,2,2
807,0.5715571,2,2
808,0.5715557,2,2
809,0.5715558,2,2
810,0.57155704,2,2
811,0.5715551,2,0
812,0.5715564,2,2
813,0.57155544,2,2
814,0.571558,2,1
815,0.5715551,2,2
816,0.57155555,2,2
817,0.5715557,2,2
818,0.571556,2,2
819,0.571556,2,0
820,0.57155645,2,2
821,0.571556,2,2
822,0.5715565,2,0
823,0.5715569,2,2
824,0.57155573,2,2
825,0.57155526,2,2
826,0.57155716,2,2
827,0.57155627,2,0
828,0.57155555,2,0
829,0.5715565,2,2
830,0.5715551,2,2
831,0.57155544,2,1
832,0.5715562,2,1
833,0.57155734,2,2
834,0.5715556,2,2
835,0.5715546,2,2
836,0.5715552,2,1
837,0.5715552,2,2
838,0.5715561,2,1
839,0.5715551,2,2
840,0.57155824,2,2
841,0.57155555,2,2
842,0.571556,2,1
843,0.57155466,2,1
844,0.57155573,2,2
845,0.5715569,2,1
846,0.5715562,2,1
847,0.5715563,2,2
848,0.5715561,2,0
849,0.5715553,2,1
850,0.57155555,2,0
851,0.571556,2,0
852,0.5715569,2,2
853,0.5715559,2,2
854,0.5715553,2,2
855,0.57155704,2,2
856,0.57155544,2,1
857,0.5715557,2,2
858,0.5715563,2,0
859,0.57155555,2,2
860,0.57155544,2,2
861,0.5715555,2,0
862,0.5715557,2,2
863,0.5715559,2,0
864,0.5715557,2,0
865,0.5715557,2,2
866,0.5715557,2,0
867,0.5715553,2,2
868,0.5715555,2,2
869,0.57155466,2,0
870,0.571556,2,0
871,0.57155544,2,2
872,0.57155526,2,1
873,0.5715553,2,0
874,0.5715548,2,1
875,0.5715561,2,2
876,0.5715559,2,2
877,0.5715557,2,1
878,0.57155544,2,1
879,0.57155544,2,2
880,0.5715552,2,0
881,0.5715561,2,2
882,0.5715559,2,2
883,0.57155526,2,0
884,0.5715564,2,2
885,0.5715561,2,0
886,0.57155526,2,0
887,0.5715573,2,2
888,0.5715553,2,1
889,0.5715571,2,2
890,0.57155657,2,2
891,0.57155573,2,0
892,0.57155627,2,2
893,0.57155544,2,2
894,0.5715548,2,2
895,0.5715561,2,2
896,0.57155544,2,0
897,0.57155746,2,2
898,0.57155657,2,0
899,0.57155603,2,2
900,0.5715562,2,2
901,0.57155514,2,1
902,0.5715544,2,2
903,0.5715561,2,1
904,0.5715559,2,2
905,0.57155573,2,2
906,0.57155645,2,0
907,0.5715547,2,1
908,0.5715581,2,2
909,0.5715568,2,1
910,0.57155603,2,2
911,0.57155526,2,2
912,0.57155555,2,0
913,0.5715558,2,1
914,0.5715549,2,1
915,0.5715557,2,2
916,0.5715561,2,1
917,0.57155675,2,2
918,0.57155704,2,2
919,0.5715565,2,2
920,0.57155544,2,0
921,0.5715565,2,2
922,0.57155645,2,2
923,0.5715572,2,2
924,0.57155544,2,0
925,0.57155555,2,2
926,0.5715553,2,2
927,0.5715562,2,0
928,0.5715559,2,0
929,0.57155573,2,2
930,0.5715567,2,2
931,0.5715555,2,1
932,0.57155454,2,0
933,0.57155573,2,2
934,0.57155544,2,2
935,0.571556,2,2
936,0.5715566,2,2
937,0.5715554,2,2
938,0.5715568,2,2
939,0.5715552,2,0
940,0.5715557,2,0
941,0.5715572,2,1
942,0.57155526,2,0
943,0.5715563,2,2
944,0.5715557,2,2
945,0.5715557,2,0
946,0.5715567,2,2
947,0.5715557,2,1
948,0.5715559,2,2
949,0.571555,2,2
950,0.57155645,2,1
951,0.5715558,2,2
952,0.5715555,2,2
953,0.57155526,2,2
954,0.57155555,2,2
955,0.57155615,2,0
956,0.5715552,2,2
957,0.5715559,2,2
958,0.571556,2,2
959,0.5715552,2,2
960,0.57155573,2,1
961,0.57155764,2,2
962,0.5715559,2,2
963,0.57155776,2,2
964,0.5715555,2,2
965,0.571555,2,0
966,0.5715562,2,0
967,0.57155627,2,2
968,0.5715567,2,2
969,0.5715556,2,2
970,0.57155526,2,2
971,0.5715569,2,0
972,0.57155555,2,2
973,0.5715555,2,0
974,0.571556,2,0
975,0.5715553,2,1
976,0.5715571,2,2
977,0.571556,2,2
978,0.57155704,2,2
979,0.5715557,2,2
980,0.5715563,2,2
981,0.5715553,2,1
982,0.5715544,2,2
983,0.5715551,2,2
984,0.57155555,2,2
985,0.57155645,2,2
986,0.5715554,2,2
987,0.5715557,2,0
988,0.57155573,2,1
989,0.5715559,2,2
990,0.5715561,2,2
991,0.5715559,2,2
992,0.5715557,2,1
993,0.5715567,2,2
994,0.57155734,2,2
995,0.5715549,2,2
996,0.5715569,2,2
997,0.57155657,2,2
998,0.5715553,2,2
999,0.57155544,2,0
1000,0.5715563,2,2
1001,0.57155555,2,0
1002,0.5715553,2,2
1003,0.5715555,2,2
1004,0.5715554,2,2
1005,0.5715562,2,2
1006,0.5715555,2,1
1007,0.57155573,2,0
1008,0.5715561,2,2
1009,0.5715567,2,2
1010,0.5715551,2,1
1011,0.57155573,2,2
1012,0.5715557,2,2
1013,0.57155544,2,1
1014,0.5715558,2,2
1015,0.5715551,2,1
1016,0.5715567,2,1
1017,0.5715553,2,2
1018,0.5715557,2,1
1019,0.5715563,2,2
1020,0.5715555,2,0
1021,0.5715569,2,2
1022,0.57155573,2,0
1023,0.57155514,2,0
1024,0.5715562,2,2
1025,0.5715564,2,2
1026,0.5715549,2,1
1027,0.5715556,2,2
1028,0.5715567,2,2
1029,0.57155704,2,2
1030,0.5715568,2,2
1031,0.5715569,2,2
1032,0.571555,2,2
1033,0.5715566,2,2
1034,0.57155466,2,1
1035,0.5715559,2,0
1036,0.57155573,2,0
1037,0.5715561,2,2
1038,0.5715563,2,2
1039,0.5715555,2,2
1040,0.5715559,2,2
1041,0.5715568,2,2
1042,0.5715559,2,2
1043,0.57155544,2,0
1044,0.5715551,2,0
1045,0.5715557,2,0
1046,0.5715562,2,2
1047,0.5715558,2,2
1048,0.57155544,2,1
1049,0.5715552,2,2
1050,0.57155514,2,1
1051,0.57155627,2,0
1052,0.57155603,2,0
1053,0.57155555,2,2
1054,0.5715559,2,2
1055,0.5715568,2,2
1056,0.5715549,2,2
1057,0.571556,2,2
1058,0.5715561,2,0
1059,0.5715563,2,2
1060,0.5715561,2,0
1061,0.5715558,2,2
1062,0.571556,2,0
1063,0.57155603,2,2
1064,0.5715566,2,2
1065,0.5715551,2,0
1066,0.57155573,2,2
1067,0.57155555,2,2
1068,0.5715555,2,1
1069,0.5715553,2,2
1070,0.57155657,2,0
1071,0.57155544,2,2
1072,0.5715555,2,2
1073,0.5715549,2,2
1074,0.5715562,2,2
1075,0.5715558,2,0
1076,0.5715553,2,1
1077,0.571556,2,0
1078,0.57155657,2,2
1079,0.57155627,2,1
1080,0.57155615,2,2
1081,0.5715563,2,2
1082,0.57155526,2,0
1083,0.5715551,2,0
1084,0.5715557,2,1
1085,0.5715563,2,2
1086,0.57155555,2,2
1087,0.5715558,2,2
1088,0.5715566,2,2
1089,0.5715551,2,1
1090,0.57155544,2,1
1091,0.5715558,2,0
1092,0.5715556,2,2
1093,0.57155603,2,0
1094,0.5715552,2,2
1095,0.57155484,2,0
1096,0.57155687,2,2
1097,0.5715557,2,2
1098,0.57155585,2,1
1099,0.571556,2,0
1100,0.57155615,2,2
1101,0.57155603,2,2
1102,0.5715552,2,2
1103,0.5715562,2,2
1104,0.57155526,2,2
1105,0.571555,2,0
1106,0.57155424,2,2
1107,0.5715573,2,2
1108,0.57155555,2,2
1109,0.57155526,2,2
1110,0.5715561,2,2
1111,0.57155544,2,2
1112,0.57155585,2,2
1113,0.57155573,2,2
1114,0.5715551,2,2
1115,0.57155555,2,2
1116,0.5715551,2,2
1117,0.5715558,2,2
1118,0.5715571,2,2
1119,0.5715555,2,2
1120,0.5715568,2,2
1121,0.5715568,2,2
1122,0.571556,2,1
1123,0.5715575,2,2
1124,0.57155603,2,2
1125,0.57155496,2,2
1126,0.571556,2,1
1127,0.5715557,2,0
1128,0.5715553,2,1
1129,0.5715559,2,2
1130,0.571556,2,2
1131,0.5715558,2,2
1132,0.57155675,2,2
1133,0.57155573,2,2
1134,0.57155627,2,2
1135,0.5715553,2,1
1136,0.5715561,2,1
1137,0.57155627,2,2
1138,0.57155675,2,2
1139,0.57155603,2,2
1140,0.5715553,2,2
1141,0.5715561,2,2
1142,0.5715556,2,1
1143,0.5715553,2,2
1144,0.57155555,2,1
1145,0.5715555,2,1
1146,0.57155466,2,2
1147,0.5715557,2,2
1148,0.571555,2,2
1149,0.57155704,2,2
1150,0.5715559,2,0
1151,0.5715561,2,2
1152,0.57155555,2,2
1153,0.5715558,2,0
1154,0.5715559,2,2
1155,0.57155555,2,2
1156,0.5715557,2,2
1157,0.5715561,2,2
